"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"1972","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","46.500"
"1972","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.180"
"1972","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","23116211.000"
"1972","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.100"
"1971","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.380"
"1971","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","109.600"
"1971","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","47.400"
"1971","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.180"
"1971","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","19640088.000"
"1971","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.100"
"1970","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.385"
"1970","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","115.200"
"1970","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","46.700"
"1970","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.180"
"1970","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","19510371.000"
"1970","Arizona","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.100"
"2014","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.508"
"2014","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","54.400"
"2014","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.200"
"2014","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2014","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","179735100.000"
"2014","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.521"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","57.500"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.100"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","190245330.000"
"2013","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2012","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.485"
"2012","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","60.500"
"2012","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.400"
"2012","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2012","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","199654545.000"
"2012","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2011","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.551"
"2011","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","61.100"
"2011","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.900"
"2011","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2011","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","200418005.000"
"2011","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2010","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.454"
"2010","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","63.200"
"2010","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.600"
"2010","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2010","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","206311982.000"
"2010","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2009","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.288"
"2009","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","72.600"
"2009","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","40.800"
"2009","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.160"
"2009","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","148826375.000"
"2009","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.150"
"2008","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.930"
"2008","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","77.000"
"2008","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","24.900"
"2008","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.980"
"2008","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","128864614.000"
"2008","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.590"
"2007","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.822"
"2007","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","78.400"
"2007","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","25.600"
"2007","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.980"
"2007","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","127394493.000"
"2007","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.590"
"2006","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.714"
"2006","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","81.400"
"2006","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.400"
"2006","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.980"
"2006","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","133418145.000"
"2006","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.590"
"2005","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.530"
"2005","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","82.100"
"2005","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.800"
"2005","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.980"
"2005","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","129860482.000"
"2005","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.590"
"2004","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.535"
"2004","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","79.800"
"2004","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.700"
"2004","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.980"
"2004","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","131000087.000"
"2004","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.590"
"2003","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.596"
"2003","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","91.600"
"2003","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.300"
"2003","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.980"
"2003","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","86736560.000"
"2003","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.590"
"2002","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.522"
"2002","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","87.200"
"2002","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","20.700"
"2002","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.730"
"2002","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","79846771.000"
"2002","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.340"
"2001","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.300"
"2001","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","101.700"
"2001","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","19.800"
"2001","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.655"
"2001","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","85619768.000"
"2001","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"2000","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","2.944"
"2000","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","99.400"
"2000","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","22.200"
"2000","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.655"
"2000","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","82409447.000"
"2000","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"1999","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","2.793"
"1999","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","104.800"
"1999","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","19.900"
"1999","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1999","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","83303347.000"
"1999","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"1998","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","2.069"
"1998","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","109.500"
"1998","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.800"
"1998","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1998","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","86593871.000"
"1998","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"1997","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.873"
"1997","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","108.700"
"1997","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.600"
"1997","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1997","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","85952917.000"
"1997","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"1996","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.813"
"1996","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","110.700"
"1996","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","30.600"
"1996","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1996","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","85978675.000"
"1996","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"1995","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.671"
"1995","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","113.000"
"1995","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.200"
"1995","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1995","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","86742788.000"
"1995","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.315"
"1994","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.673"
"1994","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","108.800"
"1994","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.200"
"1994","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1994","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","81346688.000"
"1994","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.345"
"1993","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.681"
"1993","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","113.800"
"1993","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.000"
"1993","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.555"
"1993","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","72196949.000"
"1993","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.220"
"1992","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.799"
"1992","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","126.000"
"1992","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","23.300"
"1992","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.420"
"1992","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","65362674.000"
"1992","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1991","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.773"
"1991","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","116.800"
"1991","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","23.700"
"1991","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.420"
"1991","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","57851063.000"
"1991","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1990","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.465"
"1990","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","113.100"
"1990","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","25.300"
"1990","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1990","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","57859721.000"
"1990","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1989","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.412"
"1989","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","118.300"
"1989","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.200"
"1989","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1989","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","60710757.000"
"1989","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1988","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.277"
"1988","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","121.500"
"1988","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.000"
"1988","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1988","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","61767668.000"
"1988","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1987","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.199"
"1987","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","122.300"
"1987","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","30.800"
"1987","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1987","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","61658584.000"
"1987","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1986","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.130"
"1986","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","126.000"
"1986","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","32.700"
"1986","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1986","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","62155739.000"
"1986","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1985","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","1.036"
"1985","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","125.800"
"1985","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.700"
"1985","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1985","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","62733844.000"
"1985","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1984","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.985"
"1984","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","123.100"
"1984","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","37.600"
"1984","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1984","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","60611138.000"
"1984","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1983","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.936"
"1983","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","128.000"
"1983","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.500"
"1983","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.370"
"1983","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","54616725.000"
"1983","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.210"
"1982","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.820"
"1982","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","127.400"
"1982","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.400"
"1982","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.258"
"1982","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","51931175.000"
"1982","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.178"
"1981","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.721"
"1981","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","128.700"
"1981","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.700"
"1981","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.258"
"1981","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","52216063.000"
"1981","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.178"
"1980","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","0.647"
"1980","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","131.800"
"1980","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.800"
"1980","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.258"
"1980","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","50988650.000"
"1980","Arkansas","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.178"
